artist_name,playlist,active,ignore,category,priority
The Bug,electro,,TRUE,DJ,
The Chemical Brothers,,,,,
The Cinematic Orchestra,,,,,
The Clash,punk / new wave,FALSE,TRUE,,
The Comet Is Coming,Album added to library,FALSE,TRUE,,2
The Crystal Method,,,,,
The Dead Pirates,Album added to library,,,,2
The Dead Weather,,,,,
The Doors,,FALSE,TRUE,,
The Drones,Album added to library,,,,2
The Exploited,punk / new wave,,,,
The Fall,post punkish,FALSE,TRUE,,2
The Funky Lowlives,,,,,
The Future Sound Of London,tasasem teknohõng,,,DJ,
The Garden,post punkish,,,,2
The Golden Palominos,Album added to library,,,,2
The Gorls,Album added to library,,,,2
The Growl,Album added to library,,,,2
The Growlers,Album added to library,,,,2
The Gun Club,Liked song,FALSE,TRUE,,2
The Halluci Nation,electro,,TRUE,DJ,
The Heliocentrics,Album added to library,,,,2
The Herbaliser,räps,,,,
The Holydrug Couple,Album added to library,,,,2
the karminsky experience inc.,,,,,
The Kundalini Genie,Album added to library,,,,2
The Mothers Of Invention,Album added to library,FALSE,TRUE,,2
The Murder Capital,Liked song,,,,1
The Murlocs,,,,,
The Obsessed,,,,,
The Offspring,Album added to library,,,,2
The Orb,Liked song,,,,2
The Pleasure Majenta,Liked song,,,,2
The Pop Group,Liked song,,,,2
The Roaring 420s,,,,,
The Rolling Stones,,,,,
The Slits,post punkish,FALSE,TRUE,,2
The Smile,Liked song,,,,2
The Smiths,Album added to library,FALSE,TRUE,,2
The Sound,Album added to library,FALSE,TRUE,,2
The Stranglers,Album added to library,,,,2
The Tangent,,,,,
The Tights,Liked song,,,,2
The Voidz,,,,,
The WAEVE,Album added to library,,,,1
The Walkmen,Liked song,,,,2
The White Stripes,,FALSE,TRUE,,
The Who,,,,,
The Wytches,,,,,
Thee Oh Sees,Album added to library,,,,2
Thievery Corporation,,,,,
This Fine Social Scene,,,,,
Thom Yorke,Liked song,,,,2
Thou,metall,,,,
Tigran Hamasyan,Album added to library,,,,2
Timber Timbre,Liked song,,,,2
Tintura,bestEST,,,,est
Tirzah,Liked song,,,,2
Titoks,Album added to library,,,,2
To The Grave,Album added to library,,,,2
together PANGEA,Album added to library,,,,2
Tom Waits,,,,,
Tony Banks,,,,,
Topdown Dialectic,Album added to library,,,,2
TOPS,Pehmemad indiaanlased,,,,
Toro y Moi,,,,,
Tortoise,Album added to library,,,,2
Tosca,,,,,
Total Science,electro,,TRUE,DJ,
Totally Mild,Pehmemad indiaanlased,,,,
Tramhaus,Album added to library,,,,2
Transparent Sound,electro,,TRUE,DJ,
Trentemøller,Album added to library,,,,2
Trex,electro,,TRUE,DJ,
Tricky,,,,,
Tropical Contact High,post punkish,,,,2
Tropical Fuck Storm,Album added to library,,,,2
Truudusetu Juulia,,,TRUE,,
Tubeway Army,Album added to library,FALSE,TRUE,,2
Turbo Trans Turisti,post punkish,,,,2
Tuxedomoon,Album added to library,,,,2
TV on the Radio,,,,,
TVAM,Album added to library,,,,2
Twin Peaks,,,,,
Twin Tribes,punk / new wave,,,,
TwizzyBroke,Pehmemad indiaanlased,,,,
Two Inch Astronaut,Album added to library,,,,2
Ty Segall,Album added to library,,,,2
Ty Segall Band,,,TRUE,,
"Tyler, The Creator",räps,,,,
Type O Negative,metall,FALSE,TRUE,,
Télépopmusik,,,,,
U-Ziq,tasasem teknohõng; electro,,,DJ,
U.S. Girls,Liked song,,,,2
Ulrich Schnauss,,,,,
Ultimate Painting,,FALSE,TRUE,,
Ultraísta,electro,,,DJ,
Underworld,Liked song,,,,2
UNKLE,,,,,
Unknown Mortal Orchestra,Album added to library,,,,2
"Up, Bustle and Out",,,TRUE,,
Uranium Club,post punkish; punk / new wave,,,,1
Vago Sagrado,,,,,
Van Halen,,FALSE,TRUE,,
Vana,bestEST,,,,est
Vanilla Fudge,,,,,
Vanishing Twin,Liked song,,,,1
Vansire,nikumuss,,,,
Various Artists,Album added to library,,TRUE,,2
Vashti Bunyan,,,,,
Vegyn,Liked song,,,,2
Veik,post punkish,,,,2
Venno Loosaar lastelaulud,bestEST,,TRUE,,est
VHS Head,tasasem teknohõng,,,DJ,
Viagra Boys,Album added to library,,,,1
Vicious Circle,electro,,TRUE,DJ,
Viet Cong,,,,,
Vivien Goldman,,,,,
Vulpes,Liked song,FALSE,TRUE,,2
Wampire,,,,,
Wand,Album added to library,,,,2
Warpaint,Album added to library,,,,2
We,,,,,
Weed & Dolphins,räps,,,,
Ween,,FALSE,TRUE,,
Weyes Blood,Liked song,,,,2
Whereswilder,,,,,
White Zombie,Album added to library,FALSE,TRUE,,2
Whitney,,,,,
Widowspeak,Pehmemad indiaanlased,,,,
Wild Beasts,Album added to library,FALSE,TRUE,,2
Wojciech Karolak,Album added to library,FALSE,TRUE,,2
Wolfmother,Album added to library,,,,2
Women,Album added to library,FALSE,TRUE,,2
Wrupk Urei,Album added to library,,,,est
Wu-Lu,Liked song,,,,2
X-Ray Spex,Liked song,,,,2
XTC,Album added to library,FALSE,TRUE,,2
Yak,Album added to library,,,,2
Yard Act,post punkish; räps,,,,2
Yellow Days,Album added to library,,,,2
Yes,Album added to library,,,,2
Yo La Tengo,Album added to library,,,,2
Young Fathers,Liked song,,,,2
Your Old Droog,räps,,,,
Yves Tumor,Liked song,,,,2
Zammuto,Album added to library,,,,2
Zero 7,Pehmemad indiaanlased,,,,2
Zero T,,,,,
Zura,Album added to library,,,,2
µ-Ziq,tasasem teknohõng,,,DJ,
Весна Весна,Pehmemad indiaanlased,,,,
Кино,,false,true,,
СОЮЗ,,,,,
Юность-21,tasasem teknohõng,,,DJ,
